case,gender,deg,yrdeg,field,startyr,year,rank,salary
130,M,PhD,72,Other,72,84,Full,3197.000
131,M,PhD,72,Other,72,85,Full,3197.000
132,M,PhD,72,Other,72,86,Full,3293.000
133,M,PhD,72,Other,72,87,Full,3458.000
134,M,PhD,72,Other,72,88,Full,3877.000
135,M,PhD,72,Other,72,89,Full,4520.000
136,M,PhD,72,Other,72,90,Full,4731.000
137,M,PhD,72,Other,72,91,Full,5168.000
138,M,PhD,72,Other,72,92,Full,5318.000
139,M,PhD,72,Other,72,93,Full,5394.000
140,M,PhD,72,Other,72,94,Full,5394.000
141,M,PhD,72,Other,72,95,Full,5472.000
142,M,PhD,67,Prof,69,76,Assoc,2180.000
143,M,PhD,67,Prof,69,77,Assoc,1915.000
144,M,PhD,67,Prof,69,79,Full,2610.000
145,M,PhD,67,Prof,69,81,Full,3178.000
146,M,PhD,67,Prof,69,82,Full,3365.000
147,M,PhD,67,Prof,69,83,Full,3550.000
148,M,PhD,67,Prof,69,84,Full,4013.000
149,M,PhD,67,Prof,69,85,Full,4013.000
150,M,PhD,67,Prof,69,86,Full,4908.000
151,M,PhD,67,Prof,69,87,Full,5155.000
152,M,PhD,67,Prof,69,88,Full,5305.000
153,M,PhD,67,Prof,69,89,Full,5756.000
154,M,PhD,67,Prof,69,90,Full,6025.000
155,M,PhD,67,Prof,69,91,Full,6305.000
156,M,PhD,67,Prof,69,92,Full,6581.000
157,M,PhD,67,Prof,69,93,Full,6772.000
158,M,PhD,67,Prof,69,94,Full,6772.000
159,M,PhD,67,Prof,69,95,Full,7069.000
160,M,PhD,79,Other,91,91,Assist,3221.000
161,M,PhD,79,Other,91,92,Assist,3509.000
162,M,PhD,79,Other,91,93,Assist,3509.000
163,M,PhD,79,Other,91,94,Assoc,3611.000
164,M,PhD,79,Other,91,95,Assoc,4332.000
165,F,PhD,92,Arts,95,95,Assist,4231.000
166,M,PhD,88,Arts,88,88,Assist,2913.000
167,M,PhD,88,Arts,88,89,Assist,3029.000
168,M,PhD,88,Arts,88,90,Assist,3310.000
169,M,PhD,88,Arts,88,91,Assist,3564.000
170,M,PhD,88,Arts,88,92,Assist,3774.000
171,M,PhD,88,Arts,88,93,Assist,3883.000
172,M,PhD,88,Arts,88,94,Assoc,3996.000
173,M,PhD,88,Arts,88,95,Assoc,4171.000
174,M,PhD,93,Other,93,93,Assist,4676.000
175,M,PhD,93,Other,93,94,Assist,4676.000
176,M,PhD,93,Other,93,95,Assist,4881.000
177,M,PhD,70,Other,70,76,Full,2601.818
178,M,PhD,70,Other,70,77,Full,2990.411
179,M,PhD,70,Other,70,78,Full,3195.522
180,M,PhD,70,Other,70,79,Full,3556.000
181,M,PhD,70,Other,70,80,Full,3897.000
182,M,PhD,70,Other,70,81,Full,4358.000
183,M,PhD,70,Other,70,82,Full,4681.000
184,M,PhD,70,Other,70,84,Full,5199.000
185,M,PhD,70,Other,70,85,Full,5199.000
186,M,PhD,70,Other,70,86,Full,6730.000
187,M,PhD,70,Other,70,87,Full,7067.000
188,M,PhD,70,Other,70,88,Full,7377.000
189,M,PhD,70,Other,70,89,Full,8122.000
190,M,PhD,70,Other,70,90,Full,8748.000
191,M,PhD,70,Other,70,91,Full,9420.000
192,M,PhD,70,Other,70,92,Full,9974.000
193,M,PhD,70,Other,70,93,Full,10411.000
194,M,PhD,70,Other,70,94,Full,10411.000
195,M,PhD,70,Other,70,95,Full,10867.000
196,M,PhD,76,Prof,83,83,Assoc,3985.000
197,M,PhD,76,Prof,83,84,Assoc,4195.000
198,M,PhD,76,Prof,83,85,Assoc,4195.000
199,M,PhD,76,Prof,83,86,Full,5354.000
200,M,PhD,76,Prof,83,87,Full,5623.000
201,M,PhD,76,Prof,83,88,Full,5953.000
202,M,PhD,76,Prof,83,89,Full,6462.000
203,M,PhD,76,Prof,83,90,Full,7583.000
204,M,PhD,76,Prof,83,91,Full,8049.000
205,M,PhD,76,Prof,83,92,Full,8402.000
206,M,PhD,76,Prof,83,93,Full,8770.000
207,M,PhD,76,Prof,83,94,Full,8770.000
208,M,PhD,76,Prof,83,95,Full,9420.000
209,M,PhD,67,Other,71,76,Assoc,1908.772
210,M,PhD,67,Other,71,77,Assoc,2097.000
211,M,PhD,67,Other,71,78,Assoc,2176.000
212,M,PhD,67,Other,71,79,Assoc,2454.000
213,M,PhD,67,Other,71,80,Assoc,2642.000
214,M,PhD,67,Other,71,81,Assoc,2838.000
215,M,PhD,67,Other,71,82,Assoc,2920.000
216,M,PhD,67,Other,71,83,Assoc,3081.000
217,M,PhD,67,Other,71,84,Assoc,3484.000
218,M,PhD,67,Other,71,85,Full,3586.000
219,M,PhD,67,Other,71,86,Full,4023.000
220,M,PhD,67,Other,71,87,Full,4225.000
221,M,PhD,67,Other,71,88,Full,4410.000
222,M,PhD,67,Other,71,89,Full,4718.000
223,M,PhD,67,Other,71,90,Full,4800.000
224,M,PhD,67,Other,71,91,Full,4881.000
225,M,PhD,67,Other,71,92,Full,4881.000
226,M,PhD,67,Other,71,93,Full,4951.000
227,M,PhD,67,Other,71,94,Full,4951.000
228,M,PhD,67,Other,71,95,Full,5022.000
229,M,PhD,92,Prof,93,93,Assist,3828.000
230,M,PhD,92,Prof,93,94,Assist,3828.000
231,M,PhD,92,Prof,93,95,Assist,4292.000
232,M,PhD,80,Other,81,81,Assist,1985.000
233,M,PhD,80,Other,81,85,Assist,3223.000
234,M,PhD,80,Other,81,86,Assist,3341.000
235,M,PhD,80,Other,81,87,Assoc,3610.000
236,M,PhD,80,Other,81,88,Assoc,3715.000
237,M,PhD,80,Other,81,89,Assoc,4032.000
238,M,PhD,80,Other,81,90,Assoc,4281.000
239,M,PhD,80,Other,81,91,Assoc,4480.000
240,M,PhD,80,Other,81,92,Assoc,4676.000
241,M,PhD,80,Other,81,93,Assoc,4812.000
242,M,PhD,80,Other,81,94,Assoc,4812.000
243,M,PhD,80,Other,81,95,Assoc,5022.000
244,M,PhD,78,Other,87,87,Assoc,3873.000
245,M,PhD,78,Other,87,88,Assoc,3986.000
246,M,PhD,78,Other,87,89,Assoc,4450.000
247,M,PhD,78,Other,87,90,Assoc,4933.000
248,M,PhD,78,Other,87,91,Full,5624.000
249,M,PhD,78,Other,87,92,Full,6040.000
250,M,PhD,78,Other,87,93,Full,6216.000
251,M,PhD,78,Other,87,94,Full,6216.000
252,M,PhD,78,Other,87,95,Full,6488.000
253,M,PhD,86,Other,90,90,Assist,4220.000
254,M,PhD,86,Other,90,91,Assist,4292.000
255,M,PhD,86,Other,90,92,Assist,4416.000
256,M,PhD,86,Other,90,93,Assist,4610.000
257,M,PhD,86,Other,90,94,Assoc,4743.000
258,M,PhD,86,Other,90,95,Assoc,5022.000
259,M,PhD,91,Arts,95,95,Assist,3939.000
260,M,PhD,86,Other,95,95,Assoc,8278.000
261,M,PhD,64,Other,65,76,Full,3246.000
262,M,PhD,64,Other,65,77,Full,3563.636
263,M,PhD,64,Other,65,78,Full,3672.000
264,M,PhD,64,Other,65,79,Full,4009.000
265,M,PhD,64,Other,65,80,Full,4276.000
266,M,PhD,64,Other,65,81,Full,4681.000
267,M,PhD,64,Other,65,82,Full,5006.061
268,M,PhD,64,Other,65,83,Full,5229.000
269,M,PhD,64,Other,65,84,Full,5504.000
270,M,PhD,64,Other,65,85,Full,5504.000
271,M,PhD,64,Other,65,86,Full,6002.000
272,M,PhD,64,Other,65,87,Full,6304.000
273,M,PhD,64,Other,65,88,Full,6394.000
274,M,PhD,64,Other,65,89,Full,6842.000
275,M,PhD,64,Other,65,90,Full,7162.000
276,M,PhD,64,Other,65,91,Full,7494.000
277,M,PhD,64,Other,65,92,Full,7712.000
278,M,PhD,64,Other,65,93,Full,7935.000
279,M,PhD,64,Other,65,94,Full,7935.000
280,M,PhD,64,Other,65,95,Full,8165.000
281,M,PhD,67,Prof,73,76,Assoc,2052.000
282,M,PhD,67,Prof,73,77,Assoc,2296.000
283,M,PhD,67,Prof,73,78,Assoc,2501.333
284,M,PhD,67,Prof,73,79,Assoc,2850.000
285,M,PhD,67,Prof,73,80,Assoc,3153.333
286,M,PhD,67,Prof,73,81,Assoc,3500.000
287,M,PhD,67,Prof,73,82,Assoc,3517.000
288,M,PhD,67,Prof,73,83,Assoc,3764.000
289,M,PhD,67,Prof,73,84,Assoc,3962.000
290,M,PhD,67,Prof,73,85,Assoc,3962.000
291,M,PhD,67,Prof,73,86,Assoc,4081.000
292,M,PhD,67,Prof,73,87,Assoc,4285.000
293,M,PhD,67,Prof,73,88,Full,4603.000
294,M,PhD,67,Prof,73,89,Full,5068.000
295,M,PhD,67,Prof,73,90,Full,5617.000
296,M,PhD,67,Prof,73,91,Full,6135.000
297,M,PhD,67,Prof,73,92,Full,6313.000
298,M,PhD,67,Prof,73,93,Full,6404.000
299,M,PhD,67,Prof,73,94,Full,6404.000
300,M,PhD,67,Prof,73,95,Full,6684.000
301,F,PhD,93,Other,93,93,Assist,4112.000
302,F,PhD,93,Other,93,94,Assist,4112.000
303,F,PhD,93,Other,93,95,Assist,4292.000
304,M,PhD,59,Prof,95,95,Full,14464.000
305,M,PhD,62,Other,70,76,Full,2810.000
306,M,PhD,62,Other,70,77,Full,3202.000
307,M,PhD,62,Other,70,78,Full,3434.000
308,M,PhD,62,Other,70,79,Full,3906.000
309,M,PhD,62,Other,70,80,Full,4169.000
310,M,PhD,62,Other,70,81,Full,4548.000
311,M,PhD,62,Other,70,82,Full,4548.000
312,M,PhD,62,Other,70,83,Full,4798.000
313,M,PhD,62,Other,70,84,Full,4981.000
314,M,PhD,62,Other,70,85,Full,4981.000
315,M,PhD,62,Other,70,86,Full,5431.000
316,M,PhD,62,Other,70,87,Full,5703.000
317,M,PhD,62,Other,70,88,Full,6039.000
318,M,PhD,62,Other,70,89,Full,6555.000
319,M,PhD,62,Other,70,90,Full,6861.000
320,M,PhD,62,Other,70,91,Full,7283.000
321,M,PhD,62,Other,70,92,Full,7388.000
322,M,PhD,62,Other,70,93,Full,7494.000
323,M,PhD,62,Other,70,94,Full,7494.000
324,M,PhD,62,Other,70,95,Full,7712.000
325,M,PhD,66,Other,66,76,Full,2171.000
326,M,PhD,66,Other,66,77,Full,2482.000
327,M,PhD,66,Other,66,78,Full,2671.000
328,M,PhD,66,Other,66,79,Full,2986.000
329,M,PhD,66,Other,66,80,Full,3239.000
330,M,PhD,66,Other,66,81,Full,3619.403
331,M,PhD,66,Other,66,82,Full,3723.000
332,M,PhD,66,Other,66,83,Full,3928.000
333,M,PhD,66,Other,66,84,Full,4195.000
334,M,PhD,66,Other,66,85,Full,4195.000
335,M,PhD,66,Other,66,86,Full,4321.000
336,M,PhD,66,Other,66,87,Full,4538.000
337,M,PhD,66,Other,66,88,Full,4669.000
338,M,PhD,66,Other,66,89,Full,4996.000
339,M,PhD,66,Other,66,90,Full,5229.000
340,M,PhD,66,Other,66,91,Full,5794.000
341,M,PhD,66,Other,66,92,Full,6135.000
342,M,PhD,66,Other,66,93,Full,6404.000
343,M,PhD,66,Other,66,94,Full,6404.478
344,M,PhD,66,Other,66,95,Full,7361.000
345,M,PhD,88,Prof,88,88,Assist,4603.000
346,M,PhD,88,Prof,88,89,Assist,4651.000
347,M,PhD,88,Prof,88,90,Assist,5229.000
348,M,PhD,88,Prof,88,91,Assist,5631.000
349,M,PhD,88,Prof,88,92,Assist,5878.000
350,M,PhD,88,Prof,88,93,Assoc,6223.000
351,M,PhD,88,Prof,88,94,Assoc,6223.000
352,M,PhD,88,Prof,88,95,Assoc,6684.000
353,F,PhD,95,Other,95,95,Assist,4292.000
354,F,PhD,69,Arts,83,83,Assist,2154.000
355,F,PhD,69,Arts,83,84,Assist,2368.000
356,F,PhD,69,Arts,83,85,Assist,2368.000
357,F,PhD,69,Arts,83,86,Assist,2735.000
358,F,PhD,69,Arts,83,87,Assist,2872.000
359,F,PhD,69,Arts,83,88,Assist,2955.000
360,F,PhD,69,Arts,83,89,Assoc,3596.000
361,F,PhD,69,Arts,83,90,Assoc,3711.000
362,F,PhD,69,Arts,83,91,Assoc,4053.000
363,F,PhD,69,Arts,83,92,Assoc,4171.000
364,F,PhD,69,Arts,83,93,Assoc,4231.000
365,F,PhD,69,Arts,83,94,Assoc,4231.000
366,F,PhD,69,Arts,83,95,Assoc,4353.000
367,M,PhD,77,Arts,87,87,Assist,3361.000
368,M,PhD,77,Arts,87,88,Assist,3361.000
369,M,PhD,77,Arts,87,89,Assoc,4269.000
370,M,PhD,77,Arts,87,90,Assoc,4405.000
371,M,PhD,77,Arts,87,91,Assoc,4610.000
372,M,PhD,77,Arts,87,92,Assoc,4812.000
373,M,PhD,77,Arts,87,93,Full,5242.000
374,M,PhD,77,Arts,87,94,Full,5242.000
375,M,PhD,77,Arts,87,95,Full,5394.000
376,M,PhD,68,Other,68,76,Assoc,1838.000
377,M,PhD,68,Other,68,77,Assoc,2096.000
378,M,PhD,68,Other,68,78,Assoc,2278.788
379,M,PhD,68,Other,68,79,Assoc,2540.000
380,M,PhD,68,Other,68,80,Assoc,2732.000
381,M,PhD,68,Other,68,81,Assoc,2962.000
382,M,PhD,68,Other,68,82,Assoc,2962.000
383,M,PhD,68,Other,68,83,Assoc,3125.000
384,M,PhD,68,Other,68,84,Full,3586.000
385,M,PhD,68,Other,68,85,Full,3586.000
386,M,PhD,68,Other,68,86,Full,4023.000
387,M,PhD,68,Other,68,87,Full,4225.000
388,M,PhD,68,Other,68,88,Full,4347.000
389,M,PhD,68,Other,68,89,Full,4718.000
390,M,PhD,68,Other,68,90,Full,4939.000
391,M,PhD,68,Other,68,91,Full,5095.000
392,M,PhD,68,Other,68,92,Full,5168.000
393,M,PhD,68,Other,68,93,Full,5318.000
394,M,PhD,68,Other,68,94,Full,5318.000
395,M,PhD,68,Other,68,95,Full,5712.000
396,M,PhD,56,Other,90,90,Full,11155.000
397,M,PhD,56,Other,90,91,Full,11840.000
398,M,PhD,56,Other,90,92,Full,12184.000
399,M,PhD,56,Other,90,93,Full,12537.000
400,M,PhD,56,Other,90,94,Full,12537.000
401,M,PhD,56,Other,90,95,Full,13086.000
402,M,PhD,71,Other,73,76,Assist,1683.000
403,M,PhD,71,Other,73,77,Assist,1828.000
404,M,PhD,71,Other,73,78,Assoc,2019.000
405,M,PhD,71,Other,73,79,Assoc,2314.925
406,M,PhD,71,Other,73,80,Assoc,2552.000
407,M,PhD,71,Other,73,81,Assoc,2798.000
408,M,PhD,71,Other,73,82,Assoc,2798.000
409,M,PhD,71,Other,73,83,Assoc,2952.000
410,M,PhD,71,Other,73,84,Assoc,3243.000
411,M,PhD,71,Other,73,85,Assoc,3243.000
412,M,PhD,71,Other,73,86,Assoc,3537.000
413,M,PhD,71,Other,73,87,Full,3822.000
414,M,PhD,71,Other,73,88,Full,4047.000
415,M,PhD,71,Other,73,89,Full,4456.000
416,M,PhD,71,Other,73,90,Full,4664.000
417,M,PhD,71,Other,73,91,Full,5095.000
418,M,PhD,71,Other,73,92,Full,5242.000
419,M,PhD,71,Other,73,93,Full,5318.000
420,M,PhD,71,Other,73,94,Full,5318.000
421,M,PhD,71,Other,73,95,Full,5472.000
422,M,PhD,58,Other,62,76,Full,2685.000
423,M,PhD,58,Other,62,77,Full,2888.000
424,M,PhD,58,Other,62,78,Full,3021.000
425,M,PhD,58,Other,62,79,Full,3297.015
426,M,PhD,58,Other,62,80,Full,3597.000
427,M,PhD,58,Other,62,81,Full,3943.000
428,M,PhD,58,Other,62,82,Full,4000.000
429,M,PhD,58,Other,62,83,Full,4220.000
430,M,PhD,58,Other,62,84,Full,4505.000
431,M,PhD,58,Other,62,85,Full,4505.000
432,M,PhD,58,Other,62,86,Full,4641.000
433,M,PhD,58,Other,62,87,Full,4874.000
434,M,PhD,58,Other,62,88,Full,4944.000
435,M,PhD,58,Other,62,89,Full,5366.000
436,M,PhD,58,Other,62,90,Full,5617.000
437,M,PhD,58,Other,62,91,Full,5878.000
438,M,PhD,58,Other,62,92,Full,6048.000
439,M,PhD,58,Other,62,93,Full,6223.000
440,M,PhD,58,Other,62,94,Full,6223.000
441,M,PhD,58,Other,62,95,Full,6496.000
442,M,PhD,81,Other,89,89,Assist,5068.000
443,M,PhD,81,Other,89,90,Assist,5155.000
444,M,PhD,81,Other,89,91,Assoc,6048.000
445,M,PhD,81,Other,89,92,Assoc,6496.000
446,M,PhD,81,Other,89,93,Assoc,6977.000
447,M,PhD,81,Other,89,94,Assoc,6977.000
448,M,PhD,81,Other,89,95,Assoc,7283.000
449,M,PhD,66,Other,66,76,Full,2232.000
450,M,PhD,66,Other,66,77,Full,2460.000
451,M,PhD,66,Other,66,78,Full,2585.000
452,M,PhD,66,Other,66,79,Full,2880.597
453,M,PhD,66,Other,66,80,Full,3253.000
454,M,PhD,66,Other,66,82,Full,3568.000
455,M,PhD,66,Other,66,83,Full,4403.000
456,M,PhD,66,Other,66,84,Full,4771.000
457,M,PhD,66,Other,66,85,Full,4771.000
458,M,PhD,66,Other,66,86,Full,5431.000
459,M,PhD,66,Other,66,87,Full,5703.000
460,M,PhD,66,Other,66,88,Full,6039.000
461,M,PhD,66,Other,66,89,Full,6555.000
462,M,PhD,66,Other,66,90,Full,6861.000
463,M,PhD,66,Other,66,91,Full,7180.000
464,M,PhD,66,Other,66,92,Full,7388.000
465,M,PhD,66,Other,66,93,Full,7823.000
466,M,PhD,66,Other,66,94,Full,7823.000
467,M,PhD,66,Other,66,95,Full,8283.000
468,F,PhD,92,Other,95,95,Assist,4875.000
469,M,PhD,91,Other,94,94,Assist,4480.000
470,M,PhD,91,Other,94,95,Assist,4676.000
471,M,PhD,93,Other,93,93,Assist,8000.000
472,M,PhD,93,Other,93,94,Assist,8000.000
473,M,PhD,93,Other,93,95,Assist,8232.000
474,F,PhD,74,Other,75,76,Assist,1624.000
475,F,PhD,74,Other,75,77,Assist,1744.000
476,F,PhD,74,Other,75,78,Assist,1936.000
477,F,PhD,74,Other,75,79,Assist,2196.000
478,F,PhD,74,Other,75,80,Assoc,2664.000
479,F,PhD,74,Other,75,81,Assoc,3137.000
480,F,PhD,74,Other,75,82,Assoc,3275.000
481,F,PhD,74,Other,75,83,Assoc,3455.000
482,F,PhD,74,Other,75,84,Full,3962.000
483,F,PhD,74,Other,75,85,Full,3962.000
484,F,PhD,74,Other,75,86,Full,4510.000
485,F,PhD,74,Other,75,87,Full,4736.000
486,F,PhD,74,Other,75,88,Full,4944.000
487,F,PhD,74,Other,75,89,Full,5366.000
488,F,PhD,74,Other,75,90,Full,6764.000
489,F,PhD,74,Other,75,91,Full,6878.000
490,F,PhD,74,Other,75,92,Full,7078.000
491,F,PhD,74,Other,75,93,Full,7283.000
492,F,PhD,74,Other,75,94,Full,7283.000
493,F,PhD,74,Other,75,95,Full,7494.000
494,F,PhD,89,Arts,90,90,Assist,3263.000
495,F,PhD,89,Arts,90,91,Assist,3318.000
496,F,PhD,89,Arts,90,92,Assist,3463.000
497,F,PhD,89,Arts,90,93,Assist,3564.000
498,F,PhD,89,Arts,90,94,Assist,3564.000
499,F,PhD,89,Arts,90,95,Assist,3774.000
500,M,PhD,79,Other,81,81,Assist,2556.000
501,M,PhD,79,Other,81,82,Assist,2642.000
502,M,PhD,79,Other,81,83,Assist,2787.000
503,M,PhD,79,Other,81,84,Assist,2935.000
504,M,PhD,79,Other,81,85,Assist,2935.000
505,M,PhD,79,Other,81,86,Assist,3200.000
506,M,PhD,79,Other,81,87,Assist,3361.000
507,M,PhD,79,Other,81,88,Assoc,4047.000
508,M,PhD,79,Other,81,89,Assoc,4330.000
509,M,PhD,79,Other,81,90,Assoc,4468.000
510,M,PhD,79,Other,81,91,Assoc,4743.000
511,M,PhD,79,Other,81,92,Assoc,4881.000
512,M,PhD,79,Other,81,93,Assoc,5168.000
513,M,PhD,79,Other,81,94,Assoc,5168.000
514,M,PhD,79,Other,81,95,Assoc,5472.000
515,M,PhD,76,Other,84,84,Assoc,3434.000
516,M,PhD,76,Other,84,85,Assoc,3667.000
517,M,PhD,76,Other,84,86,Assoc,4383.000
518,M,PhD,76,Other,84,87,Full,4736.000
519,M,PhD,76,Other,84,88,Full,4736.000
520,M,PhD,76,Other,84,89,Full,6370.000
521,M,PhD,76,Other,84,90,Full,6480.000
522,M,PhD,76,Other,84,91,Full,6878.000
523,M,PhD,76,Other,84,92,Full,7078.000
524,M,PhD,76,Other,84,93,Full,7388.000
525,M,PhD,76,Other,84,94,Full,7388.000
526,M,PhD,76,Other,84,95,Full,8283.000
527,M,PhD,72,Other,72,76,Assist,1712.000
528,M,PhD,72,Other,72,77,Assist,1942.000
529,M,PhD,72,Other,72,78,Assist,2019.000
530,M,PhD,72,Other,72,79,Assoc,2243.000
531,M,PhD,72,Other,72,80,Assoc,2364.179
532,M,PhD,72,Other,72,81,Assoc,2532.000
533,M,PhD,72,Other,72,82,Assoc,2532.000
534,M,PhD,72,Other,72,83,Assoc,2671.000
535,M,PhD,72,Other,72,84,Assoc,2851.000
536,M,PhD,72,Other,72,85,Assoc,2851.000
